ADP,Overall,Name,Position,Team,Times Drafted,Bye
12.04,113.8,Terrance Williams,WR,DAL,201,11
12.05,114.8,Brian Quick,WR,STL,154,4
12.06,115.7,Darren Sproles,RB,PHI,167,7
12.07,117.0,Theo Riddick,RB,DET,211,9
12.08,117.7,Pierre Garcon,WR,WAS,153,10
12.08,117.8,Stephen Gostkowski,PK,NE,477,10
12.08,118.1,Miami Defense,DEF,MIA,221,5
12.09,118.6,Jason Witten,TE,DAL,291,11
12.09,119.4,Zach Ertz,TE,PHI,374,7
12.09,119.5,Charles Sims,RB,TB,149,7
12.10,120.5,Philadelphia Defense,DEF,PHI,191,7
13.01,120.7,Delanie Walker,TE,TEN,258,9
13.02,122.1,Colin Kaepernick,QB,SF,122,8
13.02,122.2,Sam Bradford,QB,PHI,213,7
13.02,122.3,Teddy Bridgewater,QB,MIN,191,10
13.03,122.7,Ahmad Bradshaw,RB,IND,93,10
13.03,122.7,Joseph Randle,RB,DAL,184,11
13.03,123.2,Richard Rodgers,TE,GB,30,9
13.03,123.5,Coby Fleener,TE,IND,153,10
13.04,123.5,Adam Vinatieri,PK,IND,285,10
13.04,124.3,Josh Gordon,WR,CLE,11,4
13.04,124.3,DeAngelo Williams,RB,PIT,204,12
13.05,125.1,Marques Colston,WR,NO,159,6
13.06,125.5,Cody Latimer,WR,DEN,169,4
13.06,126.0,Stevan Ridley,RB,NE,51,10
13.07,126.6,Alfred Blue,RB,HOU,255,10
13.07,127.3,James Starks,RB,GB,90,9
13.07,127.3,Dan Herron,RB,IND,127,10
13.08,128.4,Christine Michael,RB,SEA,5,4
13.09,128.5,Joe Flacco,QB,BAL,84,11
13.09,128.8,Jordan Reed,TE,WAS,6,10
13.09,129.2,Green Bay Defense,DEF,GB,37,9
13.09,129.2,Arizona Defense,DEF,ARI,174,4
13.09,129.2,Ronnie Hillman,RB,DEN,167,4
13.09,129.3,Virgil Green,TE,DEN,13,4
13.09,129.4,Fred Jackson,RB,BUF,145,9
